Resolution	Title	Url1	Symbol	URL2
E/RES/2020/20	Admission of Algeria and Somalia to membership in the Economic and Social Commission for Western Asia	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/20	E/RES/2020/20	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/20&Lang=E&Type=DOC
E/RES/2020/21	Report of the Committee of Experts on Public Administration on its nineteenth session	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/21	E/RES/2020/21	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/21&Lang=E&Type=DOC
E/RES/2020/22	United Nations Inter-Agency Task Force on the Prevention and Control of Non-communicable Diseases	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/22	E/RES/2020/22	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/22&Lang=E&Type=DOC
E/RES/2020/23	Progress in the implementation of General Assembly resolution 71/243 on the quadrennial comprehensive policy review of operational activities for development of the United Nations system	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/23	E/RES/2020/23	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/23&Lang=E&Type=DOC
E/RES/2020/3	Revised working arrangements for the 2020 session of the Economic and Social Council and sessions of its subsidiary bodies	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/3	E/RES/2020/3	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/3&Lang=E&Type=DOC
E/RES/2020/4	Further revised working arrangements for the 2020 session of the Economic and Social Council and sessions of its subsidiary bodies	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/4	E/RES/2020/4	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/4&Lang=E&Type=DOC
E/RES/2020/5	Strengthening coordination of the statistical programmes in the United Nations system	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/5	E/RES/2020/5	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/5&Lang=E&Type=DOC
E/RES/2020/6	Social dimensions of the New Partnership for Africa’s Development	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/6	E/RES/2020/6	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/6&Lang=E&Type=DOC
E/RES/2020/7	Affordable housing and social protection systems for all to address homelessness	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/7	E/RES/2020/7	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/7&Lang=E&Type=DOC
E/RES/2020/8	Modalities for the fourth review and appraisal of the Madrid International Plan of Action on Ageing, 2002	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/8	E/RES/2020/8	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/8&Lang=E&Type=DOC
E/RES/2020/9	Mainstreaming a gender perspective into all policies and programmes in the United Nations system	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/9	E/RES/2020/9	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/9&Lang=E&Type=DOC
